Ref,Val,Package,PosX,PosY,Rot,Side
"R1903","10k 1%","R_0603_1608Metric",-5.600000,30.150000,-90.000000,top
"R1904","10k 1%","R_0603_1608Metric",-5.600000,27.150000,-90.000000,top
"R1905","10k 1%","R_0603_1608Metric",-5.600000,24.150000,-90.000000,top
"R2001","100R 1%","R_0603_1608Metric",28.450000,2.250000,-90.000000,top
"R2002","100R 1%","R_0603_1608Metric",30.050000,2.250000,-90.000000,top
"R2003","100R 1%","R_0603_1608Metric",34.850000,2.250000,-90.000000,top
"R2004","100R 1%","R_0603_1608Metric",36.450000,2.250000,-90.000000,top
"R2006","100R 1%","R_0603_1608Metric",40.650000,2.250000,-90.000000,top
"R2007","100R 1%","R_0603_1608Metric",45.450000,2.250000,-90.000000,top
"R2008","22R 1%","R_0402_1005Metric",20.000000,1.100000,-90.000000,top
"R2009","22R 1%","R_0402_1005Metric",22.300000,1.100000,-90.000000,top
"R2010","100R 1%","R_0603_1608Metric",-9.500000,30.900000,180.000000,top
"R2011","22R 1%","R_0402_1005Metric",23.500000,1.100000,-90.000000,top
"R2012","100R 1%","R_0603_1608Metric",-9.500000,29.400000,180.000000,top
"R2013","100R 1%","R_0603_1608Metric",-9.450000,26.400000,180.000000,top
"R2101","10k 1%","R_0402_1005Metric",11.570000,-4.400000,90.000000,top
"R2102","10k 1%","R_0402_1005Metric",9.960000,-4.810000,0.000000,top
"R2103","10k 1%","R_0402_1005Metric",14.070000,-5.910000,-90.000000,top
"R2104","10k 1%","R_0402_1005Metric",5.310000,-4.282500,90.000000,top
"R2105","10k 1%","R_0402_1005Metric",3.720000,-4.772500,0.000000,top
"R2106","10k 1%","R_0402_1005Metric",8.110000,-5.765000,-90.000000,top
"R2107","10k 1%","R_0402_1005Metric",54.250000,0.250000,0.000000,top
"R2108","10k 1%","R_0402_1005Metric",54.260000,1.270000,0.000000,top
"R2109","10k 1%","R_0402_1005Metric",54.250000,2.250000,0.000000,top
"R2110","10k 1%","R_0402_1005Metric",54.250000,3.250000,0.000000,top
"R2201","100k 1%","R_0603_1608Metric",26.566250,13.616162,135.000000,top
"R2202","DNP","R_0603_1608Metric",28.791681,11.458319,135.000000,top
"R20010","22R 1%","R_0402_1005Metric",21.100000,1.100000,-90.000000,top
"SW2001","CAS-220TA","SW_DPDT_CK_JS202011JCQN",-3.650000,4.300000,180.000000,top
"TH1401","47k 1% NTC","R_0603_1608Metric",46.400000,38.700000,180.000000,top
"U801_901","STM32G474RET6","QFP50P1200X1200X160-64N",15.200000,8.700000,-135.000000,top
"U1001","DRV8353FS","QFN50P600X600X80-41N-D",14.750000,26.650000,-135.000000,top
"U1701","SP3494","SOIC-8_3.9x4.9mm_P1.27mm",44.200000,16.275000,0.000000,top
"U1801","TCAN330","SOIC-8_3.9x4.9mm_P1.27mm",-4.250000,-2.000000,90.000000,top
"U1901","DGD0216","SOT-23-5",41.662500,8.825000,0.000000,top
